ATTq590486: lockoutTime
ATTk1441828: thumbnailLogo
ATTj589993: logonCount
ATTk589888: logonHours
ATTk589889: logonWorkstation
ATTq589890: lSACreationTime
ATTq589891: lSAModifiedCount
ATTj589892: machineArchitecture
ATTq590344: machinePasswordChangeInterval
ATTj589895: machineRole
ATTk590283: machineWidePolicy
ATTb590477: managedBy
ATTb590478: managedObjects
ATTb1376266: manager
ATTj131121: mAPIID
ATTk589896: marshalledInterface
ATTb591233: masteredBy
ATTq589898: maxPwdAge
ATTq589899: maxRenewAge
ATTq589900: maxStorage
ATTq589901: maxTicketAge
ATTc131097: mayContain
ATTm590406: meetingAdvertiseScope
ATTm590397: meetingApplication
ATTj590413: meetingBandwidth
ATTk590414: meetingBlob
ATTm590402: meetingContactInfo
ATTm590391: meetingDescription
ATTl590412: meetingEndTime
ATTm590389: meetingID
ATTm590404: meetingIP
ATTm590409: meetingIsEncrypted
ATTm590392: meetingKeyword
ATTm590398: meetingLanguage
ATTm590393: meetingLocation
ATTj590400: meetingMaxParticipants
ATTm590390: meetingName
ATTm590401: meetingOriginator
ATTm590403: meetingOwner
ATTm590394: meetingProtocol
ATTm590408: meetingRating
ATTm590410: meetingRecurrence
ATTm590405: meetingScope
ATTl590411: meetingStartTime
ATTm590395: meetingType
ATTm590407: meetingURL
ATTb31: member
ATTm590474: mhsORAddress
ATTq589902: minPwdAge
ATTj589903: minPwdLength
ATTq589904: minTicketAge
ATTq589992: modifiedCount
ATTq589905: modifiedCountAtLastProm
ATTl1638402: modifyTimeStamp
ATTk589906: moniker
ATTm589907: monikerDisplayName
ATTk591129: moveTreeState
ATTb591251: msCOM-DefaultPartitionLink
ATTk591252: msCOM-ObjectId
ATTb591247: msCOM-PartitionLink
ATTb591248: msCOM-PartitionSetLink
ATTb591249: msCOM-UserLink
ATTb591250: msCOM-UserPartitionSetLink
ATTk591667: msDRM-IdentityCertificate
ATTm591541: msDS-AdditionalDnsHostName
ATTm591542: msDS-AdditionalSamAccountName
ATTj591613: msDS-AllUsersTrustQuota
ATTm591534: msDS-AllowedDNSSuffixes
ATTm591611: msDS-AllowedToDelegateTo
ATTc591282: msDS-Auxiliary-Classes
ATTj591493: msDS-Approx-Immed-Subordinates
ATTb591782: msDS-AuthenticatedAtDC
ATTb591781: msDS-AuthenticatedToAccountlist
ATTm591643: msDS-AzApplicationData
ATTm591622: msDS-AzApplicationName
ATTm591641: msDS-AzApplicationVersion
ATTm591625: msDS-AzBizRule
ATTm591626: msDS-AzBizRuleLanguage
ATTm591640: msDS-AzClassId
ATTj591619: msDS-AzDomainTimeout
ATTi591629: msDS-AzGenerateAudits
ATTm591627: msDS-AzLastImportedBizRulePath
ATTm591616: msDS-AzLDAPQuery
ATTj591648: msDS-AzMajorVersion
ATTj591649: msDS-AzMinorVersion
ATTj591624: msDS-AzOperationID
ATTm591623: msDS-AzScopeName
ATTj591620: msDS-AzScriptEngineCacheMax
ATTj591621: msDS-AzScriptTimeout
ATTi591642: msDS-AzTaskIsRoleDefinition
ATTk591773: msDS-AzObjectGuid
ATTm591774: msDS-AzGenericData
ATTj591283: msDS-Behavior-Version
ATTk591655: msDS-ByteArray
ATTk591265: msDS-Cached-Membership
ATTq591266: msDS-Cached-Membership-Time-Stamp
ATTk591184: mS-DS-ConsistencyGuid
ATTj591185: mS-DS-ConsistencyChildCount
ATTr591234: mS-DS-CreatorSID
ATTl591656: msDS-DateTime
ATTj591670: msDS-DefaultQuota
ATTj591892: msDS-DeletedObjectLifetime
ATTm591543: msDS-DnsRootAlias
ATTb591885: msDS-EnabledFeature
ATTb591893: msDS-EnabledFeatureBL
ATTl591446: msDS-Entry-Time-To-Die
ATTk591607: msDS-ExecuteScriptPassword
ATTm591657: msDS-ExternalKey
ATTm591658: msDS-ExternalStore
ATTk591886: msDS-OptionalFeatureGUID
ATTm591527: msDS-FilterContainers
ATTh591533: msDS-HasInstantiatedNCs
ATTb591644: msDS-HasDomainNCs
ATTb591660: msDS-hasMasterNCs
ATTb591880: msDS-HostServiceAccount
ATTb591881: msDS-HostServiceAccountBL
ATTj591659: msDS-Integer
ATTj591540: msDS-IntId
ATTi592010: msDS-IsPossibleValuesPresent
ATTi591783: msDS-isGC
ATTi591784: msDS-isRODC
ATTm591891: msDS-LastKnownRDN
ATTj591606: msDS-KeyVersionNumber
ATTj591608: msDS-LogonTimeSyncInterval
ATTb591661: msDs-masteredBy
ATTq591835: msDS-MaximumPasswordAge
ATTq591836: msDS-MinimumPasswordAge
ATTj591837: msDS-MinimumPasswordLength
ATTb591875: msDS-OIDToGroupLink
ATTb591876: msDS-OIDToGroupLinkBl
ATTj591838: msDS-PasswordHistoryLength
ATTi591839: msDS-PasswordComplexityEnabled
ATTi591840: msDS-PasswordReversibleEncryptionEnabled
ATTl591883: msDS-LocalEffectiveDeletionTime
ATTl591884: msDS-LocalEffectiveRecycleTime
ATTq591841: msDS-LockoutObservationWindow
ATTq591842: msDS-LockoutDuration
ATTj591843: msDS-LockoutThreshold
ATTb591844: msDS-PSOAppliesTo
ATTb591845: msDS-PSOApplied
ATTj591890: msDS-RequiredDomainBehaviorVersion
ATTj591903: msDS-RequiredForestBehaviorVersion
ATTb591846: msDS-ResultantPSO
ATTj591847: msDS-PasswordSettingsPrecedence
ATTj591666: msDs-MaxValues
ATTb591630: msDS-MembersForAzRole
ATTb591631: msDS-MembersForAzRoleBL
ATTj591848: msDS-NcType
ATTb591617: msDS-NonMembers
ATTb591618: msDS-NonMembersBL
ATTm591766: msDS-PhoneticFirstName
ATTm591767: msDS-PhoneticLastName
ATTm591768: msDS-PhoneticDepartment
ATTm591769: msDS-PhoneticCompanyName
ATTm591770: msDS-PhoneticDisplayName
ATTj591821: msDS-HABSeniorityIndex
ATTm591786: msDS-PromotionSettings
ATTm591785: msDS-SiteName
ATTj591787: msDS-SupportedEncryptionTypes
ATTk591526: msDS-TrustForestTrustInfo
ATTj591671: msDS-TombstoneQuotaFactor
ATTm591674: msDS-TopQuotaUsage
ATTj591235: ms-DS-MachineAccountQuota
ATTb591664: msDS-ObjectReference
ATTb591665: msDS-ObjectReferenceBL
ATTb591636: msDS-OperationsForAzRole
ATTb591637: msDS-OperationsForAzRoleBL
ATTb591632: msDS-OperationsForAzTask
ATTb591633: msDS-OperationsForAzTaskBL
ATTm591445: msDS-Other-Settings
ATTm591689: msDS-PrincipalName
ATTj591669: msDS-QuotaAmount
ATTj591672: msDS-QuotaEffective
ATTr591668: msDS-QuotaTrustee
ATTj591673: msDS-QuotaUsed
ATTm591528: msDS-NCReplCursors
ATTm591529: msDS-NCReplInboundNeighbors
ATTm591530: msDS-NCReplOutboundNeighbors
ATTb591485: msDS-NC-Replica-Locations
ATTb591791: msDS-NC-RO-Replica-Locations
ATTb591792: msDS-NC-RO-Replica-Locations-BL
ATTm591513: msDS-Non-Security-Group-Extra-Classes
ATTj591612: msDS-PerUserTrustQuota
ATTj591614: msDS-PerUserTrustTombstonesQuota
ATTb591268: msDS-Preferred-GC-Site
ATTm591531: msDS-ReplAttributeMetaData
ATTm591532: msDS-ReplValueMetaData
ATTh591232: mS-DS-ReplicatesNCReason
ATTj591487: msDS-Replication-Notify-First-DSA-Delay
ATTj591488: msDS-Replication-Notify-Subsequent-DSA-Delay
ATTj591544: msDS-ReplicationEpoch
ATTk591650: msDS-RetiredReplNCSignatures
ATTk591264: msDs-Schema-Extensions
ATTb591535: msDS-SDReferenceDomain
ATTm591512: msDS-Security-Group-Extra-Classes
ATTm591521: msDS-Settings
ATTk591267: msDS-Site-Affinity
ATTm591539: msDS-SPNSuffixes
ATTb591638: msDS-TasksForAzRole
ATTb591639: msDS-TasksForAzRoleBL
ATTb591634: msDS-TasksForAzTask
ATTb591635: msDS-TasksForAzTaskBL
ATTj591284: msDS-User-Account-Control-Computed
ATTq591820: msDS-UserPasswordExpiryTimeComputed
ATTm591545: msDS-UpdateScript
ATTm591703: msDS-SourceObjectDN
ATTb591747: msDS-KrbTgtLink
ATTh591748: msDS-RevealedUsers
ATTb591749: msDS-hasFullReplicaNCs
ATTb591750: msDS-NeverRevealGroup
ATTb591752: msDS-RevealOnDemandGroup
ATTj591753: msDS-SecondaryKrbTgtNumber
ATTb591754: msDS-RevealedDSAs
ATTb591755: msDS-KrbTgtLinkBl
ATTb591756: msDS-IsFullReplicaFor
ATTb591757: msDS-IsDomainFor
ATTb591758: msDS-IsPartialReplicaFor
ATTj591849: msDS-IsUserCachableAtRodc
ATTo591764: msDS-RevealedList
ATTb591799: msDS-RevealedListBL
ATTq591794: msDS-LastSuccessfulInteractiveLogonTime
ATTq591795: msDS-LastFailedInteractiveLogonTime
ATTj591796: msDS-FailedInteractiveLogonCount
ATTj591797: msDS-FailedInteractiveLogonCountAtLastSuccessfulLogon
ATTq591879: msDS-USNLastSyncSuccess
ATTb592011: msDS-ValueTypeReference
ATTb592012: msDS-ValueTypeReferenceBL
ATTj591887: msDS-OptionalFeatureFlags
ATTb592169: msds-tokenGroupNames
ATTb592170: msds-tokenGroupNamesGlobalAndUniversal
ATTb592171: msds-tokenGroupNamesNoGCAcceptable
ATTm131516: msExchAssistantName
ATTm131668: msExchHouseIdentifier
ATTm131665: msExchLabeledURI
ATTb131176: ownerBL
ATTb591517: msFRS-Hub-Member
ATTm591516: msFRS-Topology-Pref
ATTm2293761: msDFSR-Version
ATTk2293762: msDFSR-Extension
ATTm2293763: msDFSR-RootPath
ATTq2293764: msDFSR-RootSizeInMb
ATTm2293765: msDFSR-StagingPath
ATTq2293766: msDFSR-StagingSizeInMb
ATTm2293767: msDFSR-ConflictPath
ATTq2293768: msDFSR-ConflictSizeInMb
ATTi2293769: msDFSR-Enabled
ATTj2293770: msDFSR-ReplicationGroupType
ATTj2293771: msDFSR-TombstoneExpiryInMin
ATTm2293772: msDFSR-FileFilter
ATTm2293773: msDFSR-DirectoryFilter
ATTk2293774: msDFSR-Schedule
ATTm2293775: msDFSR-Keywords
ATTj2293776: msDFSR-Flags
ATTj2293777: msDFSR-Options
ATTk2293778: msDFSR-ContentSetGuid
ATTi2293779: msDFSR-RdcEnabled
ATTq2293780: msDFSR-RdcMinFileSizeInKb
ATTm2293781: msDFSR-DfsPath
ATTj2293782: msDFSR-RootFence
ATTk2293783: msDFSR-ReplicationGroupGuid
ATTm2293784: msDFSR-DfsLinkTarget
ATTb2293860: msDFSR-MemberReference
ATTb2293861: msDFSR-ComputerReference
ATTb2293862: msDFSR-MemberReferenceBL
ATTb2293863: msDFSR-ComputerReferenceBL
ATTj2293785: msDFSR-Priority
ATTm2293786: msDFSR-DeletedPath
ATTq2293787: msDFSR-DeletedSizeInMb
ATTi2293788: msDFSR-ReadOnly
ATTj2293789: msDFSR-CachePolicy
ATTj2293790: msDFSR-MinDurationCacheInMin
ATTj2293791: msDFSR-MaxAgeInCacheInMin
ATTm591788: msFVE-RecoveryPassword
ATTk591822: msFVE-VolumeGuid
ATTk591823: msFVE-KeyPackage
ATTk591789: msFVE-RecoveryGuid
ATTm591790: msTPM-OwnerInformation
ATTk591645: msieee80211-Data
ATTj591646: msieee80211-DataType
ATTm591647: msieee80211-ID
ATTm591610: msIIS-FTPDir
ATTm591609: msIIS-FTPRoot
ATTk591877: msImaging-PSPIdentifier
ATTm591878: msImaging-PSPString
ATTm591775: ms-net-ieee-80211-GP-PolicyGUID
ATTm591776: ms-net-ieee-80211-GP-PolicyData
ATTk591777: ms-net-ieee-80211-GP-PolicyReserved
ATTm591778: ms-net-ieee-8023-GP-PolicyGUID
ATTm591779: ms-net-ieee-8023-GP-PolicyData
ATTk591780: ms-net-ieee-8023-GP-PolicyReserved
